,year,type,value
39,2019,others_emissions,7277999.988453216
21,2001,others_emissions,5861451.481
22,2002,others_emissions,5951995.574172166
23,2003,others_emissions,6179977.586022266
24,2004,others_emissions,6373373.584366526
25,2005,others_emissions,6463740.611438186
26,2006,others_emissions,6627584.880261636
27,2007,others_emissions,6844049.951143056
28,2008,others_emissions,6973658.294635326
29,2009,others_emissions,6723735.257598326
30,2010,others_emissions,7034093.301643036
31,2011,others_emissions,7098942.004693236
32,2012,others_emissions,7198367.528256346
33,2013,others_emissions,7222748.192973586
34,2014,others_emissions,7058326.312629686
35,2015,others_emissions,7110955.568524996
36,2016,others_emissions,7210360.670163536
37,2017,others_emissions,7274329.989738656
20,2000,others_emissions,5693445.842
38,2018,others_emissions,7273179.990674116
0,2000,top10_emissions,14306800.0
17,2017,top10_emissions,21681759.7997
1,2001,top10_emissions,14492950.0
2,2002,top10_emissions,14684149.7809
3,2003,top10_emissions,15469590.3011
4,2004,top10_emissions,16325689.8805
5,2005,top10_emissions,17106420.0438
6,2006,top10_emissions,17687020.2642
7,2007,top10_emissions,18490789.916500002
18,2018,top10_emissions,22319279.7575
8,2008,top10_emissions,18527349.946000002
10,2010,top10_emissions,19810319.7621
11,2011,top10_emissions,20585249.8483
12,2012,top10_emissions,20895530.1509
13,2013,top10_emissions,21563240.4793
14,2014,top10_emissions,21774089.994
15,2015,top10_emissions,21500989.5322
16,2016,top10_emissions,21400310.211
9,2009,top10_emissions,18523079.9862
19,2019,top10_emissions,22332950.0462
